Tree_num,Species,meas_time,meas_loc,Obs#,Time,Date,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
1,QUBU,day,top,1,10:03:59,7/10/2025,0.115165222,1.921482,0.108653034,3.766902369,1.227848,1.057154,4.059158914,2.831310914,12.538971,14.563581,48.14564006,0.4417875,7.5,PSF-00471_20250710100359_525,0,0,0,34.486412,110.657211,0.688349,0.5,0.8,447.9775292,1,30.7,26.43,28.9,29.16,29.16,84.31,81,79.6,1.7,1627,3.966,9:59:13,7/10/2025,-0.6,1,0.013,0.084,0.101,-1.983,-5.505,38.696,0,75,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.446222,2.446077,1.064649,0.755393,0.233549,0.002558,0.178481,1.464443,34.486412,0.000859,2.401091,-0.000038,1,2.393618,-0.000016,1,0.59769,0.600379,0.107916,0,PSF-00471_20250710100359_525,PFA-00280,PSA-00292,PSF-00471,RHS-00477,3.0.0,2025-03-01T19:23:17.308Z
1,QUBU,day,bottom,2,10:04:14,7/10/2025,-0.003676626,1.921482,-0.003683675,-0.134285004,1.047844,1.053942,4.028759713,2.980915713,12.500834,12.428503,47.78507548,0.4417875,7.5,PSF-00471_20250710100414_fca,0,0,0,54.542183,182.46138,0.701075,0.5,0.8,22.15397,1,26.08,26.24,28.98,29.03,29.03,84.31,81,79.3,2,79,3.965,9:59:13,7/10/2025,-0.6,1,0,0.001,-0.002,-20.177,-9.107,-5.179,0,75,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.445918,2.439335,1.064345,0.754804,0.232845,-0.000061,0.180431,0.173654,54.542183,0.000852,2.401091,-0.000038,1,2.393618,-0.000016,1,0.59769,0.600379,0.107916,0,PSF-00471_20250710100414_fca,PFA-00280,PSA-00292,PSF-00471,RHS-00477,3.0.0,2025-03-01T19:23:17.308Z
2,ACGR,day,top,3,10:05:22,7/10/2025,0.037046836,1.91783648,0.036344764,2.270488716,1.118806,1.015529,6.158398871,5.039592871,12.044962,13.269916,73.04470254,0.4417875,7.5,PSF-00471_20250710100522_c31,0,0,0,57.448982,66.083549,0.130661,0.5,0.8,95.8529096,1,27.12,24.62,29.44,36.57,36.57,84.31,80.8,78,3.5,1834,3.964,9:59:13,7/10/2025,-0.6,1,0.001,0.002,-9999,-0.21,-0.345,-9999,0,75,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.44342,2.440815,1.063419,0.751884,0.228662,0.090649,0.189477,1.637102,57.448982,0.000845,2.401091,-0.000038,1,2.393618,-0.000016,1,0.59769,0.600379,0.107916,0,PSF-00471_20250710100522_c31,PFA-00280,PSA-00292,PSF-00471,RHS-00477,3.0.0,2025-03-01T19:23:17.308Z
2,ACGR,day,bottom,4,10:05:32,7/10/2025,-0.002743933,1.91783648,-0.002747864,-0.128869231,1.017681,1.023551,4.834866425,3.817185425,12.138704,12.069093,57.33949745,0.4417875,7.5,PSF-00471_20250710100532_000,0,0,0,41.515232,82.758667,0.498358,0.5,0.8,20.7316928,1,24.57,24.71,29.51,32.22,32.22,84.32,80.8,79.4,1.8,104,3.963,9:59:13,7/10/2025,-0.6,1,-0.001,-0.002,-9999,0.281,0.294,-9999,0,75,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.443545,2.437017,1.063126,0.754825,0.227995,0.033044,0.190727,0.194547,41.515232,0.000853,2.401091,-0.000038,1,2.393618,-0.000016,1,0.59769,0.600379,0.107916,0,PSF-00471_20250710100532_000,PFA-00280,PSA-00292,PSF-00471,RHS-00477,3.0.0,2025-03-01T19:23:17.308Z
3,HEAR,day,top,5,10:06:38,7/10/2025,0.038029334,1.92330272,0.037291962,1.456033075,1.240072,1.174168,4.422127242,3.182055242,13.923487,14.704989,52.43836407,0.4417875,7.5,PSF-00471_20250710100638_4d9,0,0,0,126.967911,189.835663,0.331169,0.5,0.8,246.1248008,1,29.2,27.65,29.94,30.65,30.65,84.33,81.1,-20.9,125.8,1858,3.948,9:59:13,7/10/2025,-0.6,1,0.003,-9999,-9999,-3.051,-9999,-9999,0,75,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.447899,2.443792,1.064933,0.565224,0.22417,0.008119,0.199174,1.65756,126.967911,0.000819,2.401091,-0.000038,1,2.393618,-0.000016,1,0.59769,0.600379,0.107916,0,PSF-00471_20250710100638_4d9,PFA-00280,PSA-00292,PSF-00471,RHS-00477,3.0.0,2025-03-01T19:23:17.308Z
3,HEAR,day,bottom,6,10:06:49,7/10/2025,-0.035383431,1.921482,-0.036047229,-1.379999974,1.060027,1.122697,4.187583687,3.127556687,13.314357,12.571144,49.66299439,0.4417875,7.5,PSF-00471_20250710100649_fbc,0,0,0,63.775421,236.641998,0.730498,0.5,0.8,45.5830752,1,24.88,26.35,30,29.7,29.7,84.32,81,-20.3,125.1,156,3.962,9:59:13,7/10/2025,-0.6,1,0.002,-9999,-9999,0.406,-9999,-9999,0,75,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.445951,2.437432,1.064349,0.566175,0.223632,-0.004464,0.200441,0.237627,63.775421,0.000865,2.401091,-0.000038,1,2.393618,-0.000016,1,0.59769,0.600379,0.107916,0,PSF-00471_20250710100649_fbc,PFA-00280,PSA-00292,PSF-00471,RHS-00477,3.0.0,2025-03-01T19:23:17.308Z
4,ACPL,day,top,7,10:07:02,7/10/2025,0.043539526,1.91783648,0.042573015,1.705609371,1.116444,1.038848,4.384350204,3.267906204,12.319979,13.240202,51.99656315,0.4417875,7.5,PSF-00471_20250710100702_f70,0,0,0,122.521523,332.585327,0.631609,0.5,0.8,355.2169016,1,26.08,24.26,30.09,30.5,30.5,84.32,80.8,79.5,1.6,1406,3.962,9:59:13,7/10/2025,-0.6,1,0.001,-9999,-9999,-4.649,-9999,-9999,0,75,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.442801,2.439202,1.063524,0.75521,0.222897,0.004416,0.201983,1.280017,122.521523,0.000835,2.401091,-0.000038,1,2.393618,-0.000016,1,0.59769,0.600379,0.107916,0,PSF-00471_20250710100702_f70,PFA-00280,PSA-00292,PSF-00471,RHS-00477,3.0.0,2025-03-01T19:23:17.308Z
4,ACPL,day,bottom,8,10:07:12,7/10/2025,-0.001580667,1.921482,-0.001581969,-0.064301467,1.123033,1.125951,4.43731727,3.31428427,13.353027,13.318423,52.62473043,0.4417875,7.5,PSF-00471_20250710100712_8fc,0,0,0,87.721466,272.818909,0.678463,0.5,0.8,23.3391272,1,26.14,26.21,30.15,30.71,30.71,84.32,81,79.6,1.7,86,3.961,9:59:13,7/10/2025,-0.6,1,0.001,-9999,-9999,0.477,-9999,-9999,0,75,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.445724,2.439291,1.064324,0.755348,0.222376,0.006287,0.203032,0.179283,87.721466,0.000864,2.401091,-0.000038,1,2.393618,-0.000016,1,0.59769,0.600379,0.107916,0,PSF-00471_20250710100712_8fc,PFA-00280,PSA-00292,PSF-00471,RHS-00477,3.0.0,2025-03-01T19:23:17.308Z
5,QUBU,day,top,9,10:07:25,7/10/2025,0.15769578,1.91783648,0.145714294,4.456791158,1.304728,1.102416,3.80591506,2.50118706,13.073072,15.472194,45.13121143,0.4417875,7.5,PSF-00471_20250710100725_c9c,0,0,0,83.463905,259.541626,0.678418,0.5,0.8,61.3289872,1,30.22,25.54,30.23,28.05,28.05,84.33,80.8,79.8,1.2,226,3.961,9:59:13,7/10/2025,-0.6,1,0.004,-9999,-9999,1.135,-9999,-9999,0,75,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.444705,2.445224,1.062961,0.755847,0.221633,-0.027248,0.204624,0.295952,82.692863,0.000864,2.401091,-0.000038,1,2.393618,-0.000016,1,0.59769,0.600379,0.107916,0,PSF-00471_20250710100725_c9c,PFA-00280,PSA-00292,PSF-00471,RHS-00477,3.0.0,2025-03-01T19:23:17.308Z
5,QUBU,day,bottom,10,10:07:35,7/10/2025,-0.000576813,1.921482,-0.000576986,-0.021449866,1.053142,1.054116,4.092119993,3.038977993,12.50093,12.489377,48.53083483,0.4417875,7.5,PSF-00471_20250710100735_639,0,0,0,68.803665,200.961472,0.657628,0.5,0.8,63.9214416,1,24.34,24.36,30.27,29.3,29.3,84.32,81,79.4,2,243,3.961,9:59:13,7/10/2025,-0.6,1,0.001,-9999,-9999,0.491,-9999,-9999,0,75,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.442922,2.436595,1.064634,0.754905,0.221266,-0.012698,0.205573,0.310264,68.803665,0.000873,2.401091,-0.000038,1,2.393618,-0.000016,1,0.59769,0.600379,0.107916,0,PSF-00471_20250710100735_639,PFA-00280,PSA-00292,PSF-00471,RHS-00477,3.0.0,2025-03-01T19:23:17.308Z
